image,category,pred1,pred2,diff,lon,lat
Hiệp Hòa District-842.jpeg,0,0.7648167,0.8912033,0.12638660000000002,21.302562145165147N,105.99774611719289E
Hiệp Hòa District-2161.jpeg,0,0.72673553,0.8521384,0.12540286999999994,21.38341015094016N,106.00931855345885E
Mỹ Tho-324.jpeg,0,0.78027225,0.9054772,0.12520494999999998,10.35296487195676N,106.34370720788299E
Long Hồ District-820.jpeg,0,0.8113923,0.686487,0.1249053,10.183634573058232N,106.01942603539176E
Thái Bình-178.jpeg,0,0.84478205,0.9688625,0.12408045000000001,20.433857974965427N,106.3407024899221E
Hung Yen City-338.jpeg,0,0.8063423,0.9280731,0.12173080000000003,20.639477208555242N,106.10080552328176E
Hiệp Hòa District-1643.jpeg,0,0.8129808,0.9334669,0.12048610000000004,21.34837601510432N,105.93988393586307E
Tam Điệp-164.jpeg,0,0.5079202,0.62586933,0.11794912999999996,20.125085340768482N,105.91535744075173E
Hiệp Hòa District-1287.jpeg,0,0.8304248,0.9474884,0.11706360000000005,21.329511480423488N,105.94567015399605E
Hiệp Hòa District-1107.jpeg,0,0.94562584,0.83033574,0.11529010000000006,21.31873174632015N,105.9659219174615E
Tam Điệp-234.jpeg,0,0.8015211,0.6874284,0.11409269999999994,20.13047520782012N,105.90100330654563E
Mỹ Tho-348.jpeg,0,0.92870575,0.81482625,0.11387950000000002,10.35296487195676N,106.40945796833138E
Thái Bình-607.jpeg,0,0.94054824,0.8283188,0.11222944000000001,20.471587044326956N,106.31769243060747E
Duy Tiên District-640.jpeg,0,0.59395576,0.70550436,0.1115486,20.632173377902586N,106.01376510818362E
Duy Tiên District-999.jpeg,0,0.84191597,0.95335144,0.11143547000000009,20.653732846109186N,105.92449721044969E
Cai Lậy Town-547.jpeg,0,0.6235212,0.5121573,0.11136389999999996,10.403283106645949N,106.09639896608768E
Mỹ Tho-518.jpeg,0,0.7854202,0.89583397,0.11041376999999997,10.366439539585475N,106.3272695177709E
Thanh Liêm District-79.jpeg,0,0.8889319,0.7788049,0.11012699999999997,20.38307200732456N,105.92182538680898E
Bac Giang City-199.jpeg,0,0.8041671,0.91262776,0.10846065999999999,21.25644534227584N,106.19094610501479E
Bến Tre City-646.jpeg,0,0.6186201,0.7251549,0.10653480000000004,10.254279740703268N,106.33515384446149E
Cai Lậy Town-1397.jpeg,0,0.81706685,0.92337745,0.10631060000000003,10.465266577738051N,106.1676433923721E
Tây Ninh City-1662.jpeg,0,0.8364087,0.94085765,0.10444894999999998,11.431017979739876N,106.11413250131899E
Binh Minh Town-721.jpeg,0,0.85421896,0.75158805,0.10263091000000002,10.058500674747282N,105.84879447493537E
Tây Ninh City-661.jpeg,0,0.5053595,0.6065348,0.10117530000000008,11.35825477454467N,106.11963017890854E
Long Xuyen City-1246.jpeg,0,0.8632634,0.76239306,0.10087034000000006,10.420297211250164N,105.4468064237052E
Hoa Lư District-151.jpeg,0,0.82345206,0.7234524,0.09999966000000005,20.200686707842156N,105.97081505380628E
Trà Vinh City-445.jpeg,0,0.5346649,0.6343006,0.0996357,9.960743574719407N,106.32629344792062E
Bến Tre City-570.jpeg,0,0.8148757,0.9145108,0.09963509999999998,10.248889873651782N,106.33789237437864E
Hiệp Hòa District-1521.jpeg,0,0.807467,0.90586305,0.09839604999999996,21.340291214526815N,106.01510477159182E
Hiệp Hòa District-62.jpeg,0,0.825315,0.9234674,0.09815240000000003,21.237883740545165N,105.95145637212903E
Hiệp Hòa District-1396.jpeg,0,0.8105706,0.90739167,0.09682106999999995,21.334901347475153N,105.963028808395E
Bến Tre City-639.jpeg,0,0.7257885,0.62938046,0.09640803999999992,10.251584807177524N,106.41457121205892E
Long Hồ District-1157.jpeg,0,0.61860895,0.7149873,0.09637834999999995,10.207888974789913N,105.91810188475881E
Vĩnh Long-315.jpeg,0,0.8294871,0.9249875,0.09550039999999993,10.251692338402854N,105.97197589206726E
Hung Yen City-301.jpeg,0,0.8243524,0.9188833,0.09453089999999997,20.63678227502942N,106.0835246235895E
Cao Lanh City-1114.jpeg,0,0.7726028,0.86684686,0.09424405999999996,10.491782608970933N,105.64135110989872E
Bac Giang City-161.jpeg,0,0.72698665,0.632955,0.09403164999999991,21.251055475224174N,106.23721673817117E
Châu Thành District-1529.jpeg,0,0.82308507,0.91530967,0.09222459999999999,10.294735940139905N,106.25944710444604E
Bac Giang City-482.jpeg,0,0.8246913,0.915567,0.0908757,21.280699744008338N,106.21118950702069E
Hiệp Hòa District-2030.jpeg,0,0.8014818,0.7107301,0.09075169999999999,21.372630416836827N,105.94856326306252E
Yên Mỹ District-221.jpeg,0,0.92676216,0.837887,0.08887515999999995,20.86935967510297N,105.9815681778257E
Châu Thành District-1383.jpeg,0,0.7202013,0.8090305,0.08882919999999994,10.289346073088419N,106.43200322162488E
Cai Lậy Town-866.jpeg,0,0.663813,0.75255865,0.08874565000000001,10.427537508377641N,106.1320211792299E
Cai Lậy Town-1344.jpeg,0,0.8470548,0.9357801,0.08872530000000001,10.462571644212304N,106.11832032802134E
