Unnamed: 0,image,pred,lon,lat,found_Anditi
217,Mỹ Hào District-3789.jpeg,0.965129628777504,106.08487470741343N,20.967572679445905E,[]
218,Mỹ Hào District-2408.jpeg,0.9651127606630324,106.03582584114166N,20.94197081095056E,[]
219,Go Cong Town-2116.jpeg,0.9651097133755684,106.62653194770735N,10.399431807507273E,[]
221,Duy Tiên District-4873.jpeg,0.9651028886437416,105.99216803615124N,20.66586004697526E,['318.jpeg']
222,Go Cong Town-227.jpeg,0.965041495859623,106.6662623665304N,10.346880603755244E,[]
223,Hiệp Hòa District-291.jpeg,0.9650408029556274,105.95145637212903N,21.239231207308055E,['165.jpeg']
224,Duy Tiên District-2284.jpeg,0.9650161042809486,105.9460942824821N,20.629478444376662E,['337.jpeg']
225,Long Xuyen City-1716.jpeg,0.964973472058773,105.45913505566305N,10.347534006055131E,"['929.jpeg', '15.jpeg']"
226,Duy Tiên District-955.jpeg,0.9649377763271332,105.97920979293177N,20.60387657588136E,[]
227,Hiệp Hòa District-6050.jpeg,0.964885801076889,106.01510477159182N,21.340291214526662E,"['182.jpeg', '183.jpeg']"
228,Go Cong Town-2011.jpeg,0.9648824036121368,106.62653194770735N,10.396736873981526E,[]
229,Long Xuyen City-2924.jpeg,0.9648809731006622,105.39201250389236N,10.374483341312578E,['490.jpeg']
230,Thái Bình-2083.jpeg,0.964872106909752,106.35364564828656N,20.462154776986495E,"['451.jpeg', '450.jpeg']"
232,Chau Doc City-1924.jpeg,0.9648653119802476,105.04528639650998N,10.666140740246163E,"['2.jpeg', '1.jpeg']"
233,Trà Vinh City-499.jpeg,0.96486047655344,106.32492539803008N,9.909539837730343E,[]
234,Thái Bình-714.jpeg,0.9648208394646643,106.34070248992211N,20.433857974965385E,[]
237,Hung Yen City-1497.jpeg,0.9647809565067292,106.06912387384595N,20.64486707560684E,[]
238,Long Xuyen City-815.jpeg,0.9647426679730416,105.48653201556947N,10.327322004612043E,"['934.jpeg', '933.jpeg']"
239,Go Cong Town-348.jpeg,0.9647062718868256,106.67996251095214N,10.350923004043862E,[]
242,Ninh Bình-2104.jpeg,0.9646352678537368,105.95147386447422N,20.272519211026708E,['870.jpeg']
243,Hiệp Hòa District-6470.jpeg,0.9646138250827788,106.02378409879131N,21.345681081578324E,['185.jpeg']
244,Hiệp Hòa District-3407.jpeg,0.9645708724856376,105.95724259026198N,21.303909611927963E,[]
245,Tam Điệp-4118.jpeg,0.9645600318908693,105.95411360310817N,20.177636544521878E,[]
246,Mỹ Tho-1550.jpeg,0.9645135924220084,106.34918643792071N,10.3570072722454E,['833.jpeg']
248,Sa Đéc City-558.jpeg,0.9644717127084732,105.75592837463535N,10.282888271074373E,['531.jpeg']
249,Mỹ Hào District-1176.jpeg,0.9644459933042526,106.10507129940774N,20.91771640921813E,[]
251,Cao Lanh City-3509.jpeg,0.9644281268119812,105.6482022992347N,10.47291807429077E,['20.jpeg']
252,Go Cong Town-3290.jpeg,0.964373119175434,106.60461171663259N,10.425033676001851E,[]
253,Go Cong Town-1651.jpeg,0.9643515050411224,106.68544256872082N,10.385957139878546E,[]
254,Long Hồ District-5243.jpeg,0.9643447250127792,105.9235788658741N,10.220016175655811E,[]
255,Hiệp Hòa District-8229.jpeg,0.9643434211611748,105.98038746279394N,21.373977883599547E,[]
257,Duy Tiên District-2470.jpeg,0.9643278867006302,105.94033506327347N,20.632173377902483E,[]
