image,pred,lat,lon,found_Anditi
Thái Bình-289.jpeg,0.9722895100712776,20.4217307740992N,106.32488307414329E,"['445.jpeg', '446.jpeg']"
Long Hồ District-3099.jpeg,0.9722334742546082,10.182287106295396N,106.01257980899764E,[]
Long Xuyen City-3613.jpeg,0.9722130820155144,10.387958008941302N,105.41256022382217E,[]
Cai Lậy Town-4002.jpeg,0.972188413143158,10.436969775717799N,106.16901347749294E,[]
Duy Tiên District-5357.jpeg,0.972156509757042,20.675292314315648N,105.93025642965834E,[]
Cai Lậy Town-5561.jpeg,0.9721425473690032,10.465266577738122N,106.14846220068013E,[]
Sa Đéc City-2662.jpeg,0.9720821231603622,10.362388810083837N,105.72442680314552E,['520.jpeg']
Cai Lậy Town-5647.jpeg,0.9720805287361144,10.466614044500997N,106.16901347749294E,[]
Cai Lậy Town-2171.jpeg,0.9720505848526956,10.401935639883115N,106.11969041314218E,[]
Long Hồ District-3100.jpeg,0.9720500633120536,10.182287106295396N,106.01394905427645E,[]
Tây Ninh City-2185.jpeg,0.9720373675227164,11.350169973967462N,106.14574414745852E,[]
Tây Ninh City-2041.jpeg,0.9720333740115166,11.347475040441713N,106.12925111468995E,[]
