,Unnamed: 0.1,Unnamed: 0,district,index,longitude,latitude,geometry,sum
60,18235,22578,Mỹ Tho,499,11842701.923683254,1160029.798536859,POINT (11842701.923683254 1160029.798536859),751
61,18539,22882,Mỹ Tho,803,11840872.088390158,1162469.6755659664,POINT (11840872.088390158 1162469.6755659664),511
62,17848,22142,Mỹ Tho,63,11835077.609962018,1156370.2976794643,POINT (11835077.609962018 1156370.2976794643),630
63,18186,22529,Mỹ Tho,450,11839957.170743609,1159724.8257208322,POINT (11839957.170743609 1159724.8257208322),825
64,18265,22608,Mỹ Tho,529,11839652.19819476,1160334.7739762308,POINT (11839652.19819476 1160334.7739762308),1006
65,18364,22707,Mỹ Tho,628,11833857.71976662,1161249.7160416152,POINT (11833857.71976662 1161249.7160416152),753
66,18403,22746,Mỹ Tho,667,11834162.69231547,1161554.701981566,POINT (11834162.69231547 1161554.701981566),690
67,2824,3311,Cai Lậy Town,468,11821578.344720654,1163589.4584205183,POINT (11821578.344720654 1163589.4584205183),635
68,2607,3088,Cai Lậy Town,245,11815172.623244785,1162064.4673284874,POINT (11815172.623244785 1162064.4673284874),329
69,2566,3047,Cai Lậy Town,204,11813952.485820811,1161759.4769974062,POINT (11813952.485820811 1161759.4769974062),745
70,2749,3234,Cai Lậy Town,391,11810597.107904878,1163284.454941495,POINT (11810597.107904878 1163284.454941495),317
71,3049,3541,Cai Lậy Town,698,11813647.451464817,1165724.5565029725,POINT (11813647.451464817 1165724.5565029725),665
72,2912,3399,Cai Lậy Town,556,11813342.417108824,1164504.4846509588,POINT (11813342.417108824 1164504.4846509588),804
73,2947,3434,Cai Lậy Town,591,11813037.382752828,1164809.4986612974,POINT (11813037.382752828 1164809.4986612974),876
74,2993,3482,Cai Lậy Town,639,11816697.795024754,1165114.515306266,POINT (11816697.795024754 1165114.515306266),432
75,3021,3512,Cai Lậy Town,669,11815172.623244785,1165419.5345865842,POINT (11815172.623244785 1165419.5345865842),661
76,2985,3474,Cai Lậy Town,631,11814257.520176806,1165114.515306266,POINT (11814257.520176806 1165114.515306266),837
77,3372,3884,Cai Lậy Town,1041,11811817.245328853,1168774.9208092238,POINT (11811817.245328853 1168774.9208092238),444
78,24727,30618,Tây Ninh City,58,11812265.196681883,1266639.6984006572,POINT (11812265.196681883 1266639.6984006572),868
79,24707,30598,Tây Ninh City,38,11812265.196681883,1266333.7660209474,POINT (11812265.196681883 1266333.7660209474),879
80,24854,30745,Tây Ninh City,185,11814101.192691326,1268169.4034611955,POINT (11814101.192691326 1268169.4034611955),836
81,25087,31007,Tây Ninh City,447,11812877.195351698,1270923.0540808025,POINT (11812877.195351698 1270923.0540808025),855
82,25660,31916,Tây Ninh City,1356,11812877.195351698,1277961.2247919398,POINT (11812877.195351698 1277961.2247919398),386
83,23552,29218,Thái Bình,383,11838113.03528788,2326419.770767008,POINT (11838113.03528788 2326419.770767008),804
84,23578,29249,Thái Bình,414,11837792.851777129,2326739.9506324744,POINT (11837792.851777129 2326739.9506324744),778
85,23550,29216,Thái Bình,381,11837472.668266373,2326419.770767008,POINT (11837472.668266373 2326419.770767008),804
86,23521,29182,Thái Bình,347,11837472.668266373,2326099.5965171587,POINT (11837472.668266373 2326099.5965171587),780
