Unnamed: 0,image,pred,lat,lon,found_Anditi
7665,Tây Ninh City-3355.jpeg,0.8866399377584457,11.370381975410586N,106.13199995348471E,[]
7666,Cai Lậy Town-4279.jpeg,0.8866066262125969,10.442359642769288N,106.11146990241708E,[]
7667,Binh Minh Town-4393.jpeg,0.886595107614994,10.101619611159222N,105.84742602429628E,[]
7669,Bến Tre City-3188.jpeg,0.8865439966320992,10.267754408332031N,106.32283045983426E,[]
7672,Long Hồ District-3711.jpeg,0.8865156099200249,10.190371906872624N,105.9756101864694E,[]
7676,Cai Lậy Town-1862.jpeg,0.886462964117527,10.39654577283162N,106.1142100726588E,[]
7678,Hiệp Hòa District-7702.jpeg,0.8864257484674454,21.36454561625914N,105.95000981759576E,[]
7680,Trà Vinh City-1241.jpeg,0.8864255100488663,9.940531573276383N,106.32492539803008E,[]
7683,Cao Lanh City-1840.jpeg,0.8864148780703545,10.439231405218955N,105.6440915856331E,[]
7685,Tây Ninh City-3087.jpeg,0.8864063918590546,11.366339575121964N,106.10313714613972E,[]
7686,Binh Minh Town-2054.jpeg,0.8863808959722519,10.040983606829998N,105.88711109283818E,[]
7690,Châu Thành District-1060.jpeg,0.8862880542874336,10.259701804305262N,106.42515575665892E,[]
7691,Mỹ Tho-2095.jpeg,0.886238731443882,10.366439539585507N,106.33137894029916E,[]
7693,Cao Lanh City-3309.jpeg,0.8862375095486641,10.46887567400215N,105.61257611468767E,[]
7695,Sa Đéc City-452.jpeg,0.8862323015928268,10.280193337548628N,105.73264460440373E,[]
7697,Long Hồ District-3469.jpeg,0.8862080946564674,10.18767697334688N,105.92084037531647E,[]
7700,Cai Lậy Town-3686.jpeg,0.8861935958266258,10.43157990866631N,106.13613143459246E,[]
7705,Châu Thành District-4048.jpeg,0.8861052319407463,10.281261272511216N,106.3607895859649E,[]
7706,Ninh Bình-2253.jpeg,0.88607008010149,20.27790907807834N,105.96583578475317E,[]
7708,Trà Vinh City-1588.jpeg,0.8860611692070961,9.95535370766797N,106.32355734813949E,[]
7712,Yên Mỹ District-1112.jpeg,0.8860204070806503,20.87205460862875N,106.0623381746138E,['258.jpeg']
7713,Cai Lậy Town-1535.jpeg,0.8859871923923492,10.391155905780133N,106.11009981729622E,[]
7719,Hoa Lư District-2204.jpeg,0.8859104737639427,20.239763243966472N,105.94209029878895E,[]
7723,Phu Ly City-2484.jpeg,0.8858467265963554,20.550499477301795N,105.89410525413581E,[]
7725,Châu Thành District-1579.jpeg,0.8857460394501686,10.265091671356753N,106.20466738470704E,[]
7726,Go Cong Town-921.jpeg,0.8856822475790977,10.367092605198332N,106.65393223655084E,[]
7728,Mỹ Tho-2777.jpeg,0.8856212645769119,10.378566740451355N,106.31768086520566E,[]
7729,Duy Tiên District-1753.jpeg,0.8855991438031197,20.621393643799195N,106.00368647456851E,[]
7732,Cai Lậy Town-1657.jpeg,0.8855899944901466,10.392503372543006N,106.16627330725123E,[]
7733,Binh Minh Town-586.jpeg,0.8855622708797455,10.008644404521078N,105.8570051787719E,[]
7735,Tây Ninh City-533.jpeg,0.8855546116828918,11.312440904606968N,106.13612321167683E,[]
7736,Long Hồ District-1810.jpeg,0.8855262026190758,10.167464971903803N,105.93727131866235E,[]
7737,Binh Minh Town-2168.jpeg,0.885526143014431,10.043678540355744N,105.85837362941128E,[]
7738,Long Hồ District-2662.jpeg,0.8855260387063026,10.176897239243907N,106.02490301650705E,[]
7739,Long Hồ District-1050.jpeg,0.8855182752013206,10.158032704563702N,105.93727131866235E,[]
